candidate_id,source_dataset,installation_code,installation_name,district,municipality,generation_type,capacity_mva_or_mw,capacity_field,facility_type,lat,lon,assigned_bus_index,assigned_bus_name,assigned_bus_voltage_kv,assignment_status,assignment_confidence,publication_allowed,notes,dispatch_proxy_class,dispatch_reason,pmax_mw_proxy,pmin_mw_proxy,cost_status
GENCAND_capacidade-rececao-rnd_1608S5006800_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,1608S5006800,VALENÇA,Coimbra,Figueira da Foz,grid_connection_capacity_proxy,6.60909,potencia_de_ligacao_ligado_mva_rari,,,,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_1609S5011200_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,1609S5011200,SÃO ROMÃO DE NEIVA,Castelo Branco,Vila Velha de Ródão,grid_connection_capacity_proxy,12.427280000000003,potencia_de_ligacao_ligado_mva_rari,,,,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_1609P5024200_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,1609P5024200,DEOCRISTE,Faro,Loulé,grid_connection_capacity_proxy,69.0,potencia_de_ligacao_ligado_mva_rari,,,,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_1601S5024900_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,1601S5024900,MOGUEIRAS,Viseu,Viseu,grid_connection_capacity_proxy,2.103090000000001,potencia_de_ligacao_ligado_mva_rari,,,,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_1606S5011500_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,1606S5011500,TOUVEDO,Viseu,Viseu,grid_connection_capacity_proxy,25.728780000000004,potencia_de_ligacao_ligado_mva_rari,,,,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_1604S5007400_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,1604S5007400,TROVISCOSO,Aveiro,Albergaria-a-Velha,grid_connection_capacity_proxy,3.454900000000001,potencia_de_ligacao_ligado_mva_rari,,,,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0809S5060500_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0809S5060500,MONCHIQUE,Faro,Monchique,grid_connection_capacity_proxy,11.5908,potencia_de_ligacao_ligado_mva_rari,SE_AT,37.2969484848498,-8.5693677629858,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0811S5060400_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0811S5060400,PORTO DE LAGOS (*),Faro,Portimão,grid_connection_capacity_proxy,12.24316,potencia_de_ligacao_ligado_mva_rari,SE_AT,37.1772224457455,-8.53221157894838,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0811S5063200_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0811S5063200,PORTIMÃO,Faro,Portimão,grid_connection_capacity_proxy,4.61636,potencia_de_ligacao_ligado_mva_rari,SE_AT,37.1247733089331,-8.5591266423204,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0807P5907400_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0807P5907400,BENSAFRIM,Faro,Lagos,grid_connection_capacity_proxy,93.0,potencia_de_ligacao_ligado_mva_rari,PC_AT,37.1574799413709,-8.71180098011826,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0815S5061600_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0815S5061600,VILA DO BISPO,Faro,Vila do Bispo,grid_connection_capacity_proxy,13.69612,potencia_de_ligacao_ligado_mva_rari,SE_AT,37.0793171812525,-8.90997690391322,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0801P5906200_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0801P5906200,PADERNE,Faro,Albufeira,grid_connection_capacity_proxy,14.0,potencia_de_ligacao_ligado_mva_rari,PC_AT,37.1488176105362,-8.21041502163054,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0808S5063400_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0808S5063400,VILAMOURA,Faro,Loulé,grid_connection_capacity_proxy,5.174299999999999,potencia_de_ligacao_ligado_mva_rari,SE_AT,37.1159490104956,-8.14067813987665,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0812S5062100_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0812S5062100,SÃO BRÁS DE ALPORTEL (*),Faro,São Brás de Alportel,grid_connection_capacity_proxy,10.70422,potencia_de_ligacao_ligado_mva_rari,SE_AT,37.1493771641207,-7.8927256705816,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0808S5063300_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0808S5063300,QUARTEIRA,Faro,Loulé,grid_connection_capacity_proxy,2.4526600000000003,potencia_de_ligacao_ligado_mva_rari,SE_AT,37.0835052788915,-8.07660062289182,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0805S5062500_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0805S5062500,TORRE NATAL,Faro,Faro,grid_connection_capacity_proxy,3.69798,potencia_de_ligacao_ligado_mva_rari,SE_AT,37.038265998869,-7.90421596380011,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0810S5063600_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0810S5063600,OLHÃO,Faro,Olhão,grid_connection_capacity_proxy,7.44399,potencia_de_ligacao_ligado_mva_rari,SE_AT,37.0495570232155,-7.82730246825139,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
GENCAND_capacidade-rececao-rnd_0804S5062300_potencia_de_ligacao_ligado_mva_rari,capacidade-rececao-rnd,0804S5062300,CASTRO MARIM,Faro,Castro Marim,grid_connection_capacity_proxy,0.84551,potencia_de_ligacao_ligado_mva_rari,SE_AT,37.2604627073843,-7.47888826129034,,,,UNASSIGNED_NOT_IN_BACKBONE,missing_backbone_match,False,No matching installation code in current S16 backbone core.,reject_for_opf,not_assigned_to_backbone,,,MISSING_COST_SCENARIO
