endpoint_snap_threshold_m,total_endpoint_clusters,singleton_clusters,clusters_with_2_endpoints,clusters_with_more_than_2_endpoints,endpoint_clustering_rate_pct,high_degree_endpoint_clusters,mixed_voltage_clusters,mixed_status_clusters
0.5,6627,2789,3667,171,73.8564,0,0,1
1.0,6446,2652,3525,269,75.1406,11,0,20
5.0,5519,2109,2581,829,80.2306,90,0,97
10.0,4778,1175,2586,1017,88.9858,155,0,119
25.0,3872,541,2156,1175,94.9288,291,0,127
50.0,3478,406,1883,1189,96.1942,375,1,126
