facility_node_set,facility_buffer_m,endpoint_snap_threshold_m,merge_mode,raw_line_features,merged_circuits,reduction_percentage,inter_facility_circuits,self_loops,single_facility,isolated,tap_multi_terminal,ambiguous,loop,clean_branch_count,graph_nodes,graph_edges,connected_components,largest_component_size,isolated_nodes,mixed_voltage_circuits,mixed_status_circuits,suspicious_matches,strategy_score,recommended_yes_no,reason
B,100,50.0,voltage-aware,5334,80,98.5002,1,0,2,55,3,5,14,1,2,1,1,2,0,0,4,1,-390,no,no mixed-voltage circuits; moderate facility buffer
B,100,50.0,voltage-status-aware,5334,151,97.1691,3,3,20,84,7,1,33,3,6,3,3,2,0,0,0,1,50,no,no mixed-voltage circuits; moderate facility buffer
B,250,0.5,geometry-only,5334,1340,74.8781,363,117,474,196,102,83,5,363,376,363,59,27,0,0,1,82,29390,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,0.5,voltage-aware,5334,1340,74.8781,363,117,474,196,102,83,5,363,376,363,59,27,0,0,1,82,29390,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,0.5,voltage-status-aware,5334,1341,74.8594,363,117,474,198,102,82,5,363,376,363,59,27,0,0,0,82,29450,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,1.0,geometry-only,5334,1234,76.8654,305,112,441,188,116,64,8,305,338,305,61,27,0,0,9,57,25710,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,1.0,voltage-aware,5334,1234,76.8654,305,112,441,188,116,64,8,305,338,305,61,27,0,0,9,57,25710,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,1.0,voltage-status-aware,5334,1247,76.6217,307,113,448,191,119,61,8,307,338,307,60,27,0,0,0,61,25950,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,5.0,geometry-only,5334,877,83.5583,155,58,292,126,143,75,28,155,218,155,68,8,0,0,40,39,9800,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,5.0,voltage-aware,5334,877,83.5583,155,58,292,126,143,75,28,155,218,155,68,8,0,0,40,39,9800,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,5.0,voltage-status-aware,5334,942,82.3397,164,68,318,154,165,41,32,164,228,164,71,8,0,0,0,41,12700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,10.0,geometry-only,5334,440,91.751,57,25,112,94,64,51,37,57,100,57,43,7,0,0,37,20,2130,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,10.0,voltage-aware,5334,440,91.751,57,25,112,94,64,51,37,57,100,57,43,7,0,0,37,20,2130,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,10.0,voltage-status-aware,5334,515,90.345,64,36,135,127,88,22,43,64,110,64,46,7,0,0,0,22,4550,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,25.0,geometry-only,5334,126,97.6378,6,2,13,60,13,8,24,6,12,6,6,2,0,0,7,2,130,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,25.0,voltage-aware,5334,126,97.6378,6,2,13,60,13,8,24,6,12,6,6,2,0,0,7,2,130,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,25.0,voltage-status-aware,5334,200,96.2505,9,11,34,87,19,3,37,9,18,9,9,2,0,0,0,3,700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
B,250,50.0,geometry-only,5334,79,98.5189,1,0,6,51,3,4,14,1,2,1,1,2,0,1,3,2,-480,no,moderate facility buffer
B,250,50.0,voltage-aware,5334,80,98.5002,1,0,6,51,3,5,14,1,2,1,1,2,0,0,4,2,-440,no,no mixed-voltage circuits; moderate facility buffer
B,250,50.0,voltage-status-aware,5334,151,97.1691,3,5,26,76,6,2,33,3,6,3,3,2,0,0,0,2,-50,no,no mixed-voltage circuits; moderate facility buffer
B,500,0.5,geometry-only,5334,1340,74.8781,368,150,439,186,102,90,5,368,378,368,58,27,0,0,1,89,28690,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,0.5,voltage-aware,5334,1340,74.8781,368,150,439,186,102,90,5,368,378,368,58,27,0,0,1,89,28690,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,0.5,voltage-status-aware,5334,1341,74.8594,368,150,439,188,102,89,5,368,378,368,58,27,0,0,0,89,28750,no,no mixed-voltage circuits; conservative endpoint snapping
B,500,1.0,geometry-only,5334,1234,76.8654,312,143,410,177,114,70,8,312,341,312,60,27,0,0,9,63,25310,no,no mixed-voltage circuits; conservative endpoint snapping
