facility_node_set,facility_buffer_m,endpoint_snap_threshold_m,merge_mode,circuit_id,classification,terminal_count,terminal_endpoint_cluster_ids,terminal_details_json,terminal_facility_uids,ambiguous_facility_match,mixed_voltage,mixed_status,voltage,status,voltage_values,status_values,segment_count,total_length_m,total_length_km,source_line_ids,line_ids,geometry_type,r,x,b,thermal_limit,transformer_impedance,tap_settings
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00001,single-facility,2,"CL_0.5_02846,CL_0.5_03943","[{""endpoint_cluster_id"": ""CL_0.5_02846"", ""x"": -24963.406, ""y"": 207002.26, ""facility_uid"": """", ""facility_code"": """", ""facility_name"": """", ""facility_type"": """", ""facility_distance_m"": NaN, ""inside_facility"": false, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 0}, {""endpoint_cluster_id"": ""CL_0.5_03943"", ""x"": -24980.482, ""y"": 203095.801, ""facility_uid"": ""SE_AT:0303S5020700"", ""facility_code"": ""0303S5020700"", ""facility_name"": ""LAMAS"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 28.961, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]",SE_AT:0303S5020700,False,False,False,60kv,em exploração,60kv,em exploração,4,4309.346668618988,4.309347,"608754081,608754031,608754005,608754013","ATSEG_00000_608754081,ATSEG_01629_608754031,ATSEG_02440_608754005,ATSEG_02441_608754013",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00002,ambiguous,2,"CL_0.5_02536,CL_0.5_05744","[{""endpoint_cluster_id"": ""CL_0.5_02536"", ""x"": -21677.224, ""y"": -22526.883, ""facility_uid"": ""SE_AT:1420S5664400"", ""facility_code"": ""1420S5664400"", ""facility_name"": ""ALMOUROL"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 18.19, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_05744"", ""x"": -3919.67, ""y"": -20036.008, ""facility_uid"": ""SE_AT:1401S5636700"", ""facility_code"": ""1401S5636700"", ""facility_name"": ""OLHO BOI"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 20.539, ""inside_facility"": true, ""ambiguous_facility_match"": true, ""candidate_facility_count"": 2}]","SE_AT:1420S5664400,SE_AT:1401S5636700",True,False,False,60kv,em exploração,60kv,em exploração,8,18858.029453320378,18.858029,"612487197,263477530,263477636,637613597,637613597,637613597,637613651,263494336","ATSEG_00001_612487197,ATSEG_01440_263477530,ATSEG_01441_263477636,ATSEG_04077_637613597,ATSEG_04078_637613597,ATSEG_04079_637613597,ATSEG_04080_637613651,ATSEG_05092_263494336",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00003,inter-facility,2,"CL_0.5_00006,CL_0.5_03750","[{""endpoint_cluster_id"": ""CL_0.5_00006"", ""x"": -40113.671, ""y"": 91075.901, ""facility_uid"": ""SE_AT:0114S5001700"", ""facility_code"": ""0114S5001700"", ""facility_name"": ""BUSTOS"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 20.864, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_03750"", ""x"": -50002.762, ""y"": 84465.906, ""facility_uid"": ""SE_AT:0608S5006500"", ""facility_code"": ""0608S5006500"", ""facility_name"": ""MIRA"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 20.832, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:0114S5001700,SE_AT:0608S5006500",False,False,False,60kv,em exploração,60kv,em exploração,3,14721.900669585324,14.721901,"401408778,401408778,401408778","ATSEG_00002_401408778,ATSEG_02281_401408778,ATSEG_02282_401408778",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00004,inter-facility,2,"CL_0.5_00007,CL_0.5_04750","[{""endpoint_cluster_id"": ""CL_0.5_00007"", ""x"": -32786.398, ""y"": 94931.979, ""facility_uid"": ""SE_AT:0114S5022700"", ""facility_code"": ""0114S5022700"", ""facility_name"": ""OLIVEIRA DO BAIRRO"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 39.406, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_04750"", ""x"": -40094.078, ""y"": 91089.263, ""facility_uid"": ""SE_AT:0114S5001700"", ""facility_code"": ""0114S5001700"", ""facility_name"": ""BUSTOS"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 25.978, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:0114S5022700,SE_AT:0114S5001700",False,False,False,60kv,em exploração,60kv,em exploração,3,8644.341530140504,8.644342,"473936596,2010426598,7820710","ATSEG_00003_473936596,ATSEG_03017_2010426598,ATSEG_03124_7820710",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00005,single-facility,2,"CL_0.5_00009,CL_0.5_04606","[{""endpoint_cluster_id"": ""CL_0.5_00009"", ""x"": -1623.641, ""y"": -198681.517, ""facility_uid"": ""SE_AT:0201S5050500"", ""facility_code"": ""0201S5050500"", ""facility_name"": ""ALJUSTREL"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 36.833, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_04606"", ""x"": -1912.224, ""y"": -199487.344, ""facility_uid"": """", ""facility_code"": """", ""facility_name"": """", ""facility_type"": """", ""facility_distance_m"": NaN, ""inside_facility"": false, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 0}]",SE_AT:0201S5050500,False,False,False,60kv,em exploração,60kv,em exploração,5,1060.4923858813404,1.060492,"440430444,3140391990,3140392007,681165790,2938359692","ATSEG_00004_440430444,ATSEG_03005_3140391990,ATSEG_03006_3140392007,ATSEG_04120_681165790,ATSEG_04546_2938359692",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00006,single-facility,2,"CL_0.5_02800,CL_0.5_02801","[{""endpoint_cluster_id"": ""CL_0.5_02800"", ""x"": 29964.298, ""y"": 163595.062, ""facility_uid"": ""SE_AT:1805S5001700"", ""facility_code"": ""1805S5001700"", ""facility_name"": ""VAROSA"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 53.881, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_02801"", ""x"": 31104.243, ""y"": 178319.949, ""facility_uid"": """", ""facility_code"": """", ""facility_name"": """", ""facility_type"": """", ""facility_distance_m"": NaN, ""inside_facility"": false, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 0}]",SE_AT:1805S5001700,False,False,False,60kv,desligado/reserva,60kv,desligado/reserva,4,14854.899347429604,14.854899,"523774251,523774251,523774251,523774251","ATSEG_00005_523774251,ATSEG_01600_523774251,ATSEG_01601_523774251,ATSEG_05246_523774251",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00007,inter-facility,2,"CL_0.5_03963,CL_0.5_05390","[{""endpoint_cluster_id"": ""CL_0.5_03963"", ""x"": -85011.191, ""y"": -64215.171, ""facility_uid"": ""SE_AT:1101S5423500"", ""facility_code"": ""1101S5423500"", ""facility_name"": ""MERCEANA"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 32.653, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_05390"", ""x"": -71526.182, ""y"": -72270.899, ""facility_uid"": ""SE_AT:1101S5335200"", ""facility_code"": ""1101S5335200"", ""facility_name"": ""VALE TEJO"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 56.559, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:1101S5423500,SE_AT:1101S5335200",False,False,False,60kv,em exploração,60kv,em exploração,6,16595.050416303864,16.59505,"649319328,649319401,219000282,632677322,731479176,1021059","ATSEG_00006_649319328,ATSEG_00007_649319401,ATSEG_02153_219000282,ATSEG_02457_632677322,ATSEG_02459_731479176,ATSEG_03691_1021059",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00008,inter-facility,2,"CL_0.5_03346,CL_0.5_03962","[{""endpoint_cluster_id"": ""CL_0.5_03346"", ""x"": -93288.154, ""y"": -62314.692, ""facility_uid"": ""SE_AT:1113S5480800"", ""facility_code"": ""1113S5480800"", ""facility_name"": ""MATACÃES"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 18.039, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_03962"", ""x"": -84997.744, ""y"": -64229.925, ""facility_uid"": ""SE_AT:1101S5423500"", ""facility_code"": ""1101S5423500"", ""facility_name"": ""MERCEANA"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 18.664, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:1113S5480800,SE_AT:1101S5423500",False,False,False,60kv,em exploração,60kv,em exploração,7,10661.281629117084,10.661282,"649319433,693044682,123613490,123613515,246772489,731479145,246772489","ATSEG_00008_649319433,ATSEG_00009_693044682,ATSEG_01961_123613490,ATSEG_01962_123613515,ATSEG_02154_246772489,ATSEG_02458_731479145,ATSEG_05022_246772489",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00009,tap / multi-terminal,3,"CL_0.5_00023,CL_0.5_00463,CL_0.5_06588","[{""endpoint_cluster_id"": ""CL_0.5_00023"", ""x"": -73007.99, ""y"": -76558.216, ""facility_uid"": ""SE_AT:1114S5340500"", ""facility_code"": ""1114S5340500"", ""facility_name"": ""AREIAS (VFX)"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 19.233, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_00463"", ""x"": -77057.163, ""y"": -82585.956, ""facility_uid"": ""PC_AT:1114P5340100"", ""facility_code"": ""1114P5340100"", ""facility_name"": ""SOBRALINHO"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 21.315, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_06588"", ""x"": -73197.256, ""y"": -75731.306, ""facility_uid"": ""PC_AT:1114P5329500"", ""facility_code"": ""1114P5329500"", ""facility_name"": ""EPAL"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 25.103, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:1114S5340500,PC_AT:1114P5340100,PC_AT:1114P5329500",False,False,False,60kv,em exploração,60kv,em exploração,13,11762.453389164573,11.762453,"615634052,615634108,828396879,841160805,841161049,841161571,841160862,841161189,841161213,828396929,841161061,841161608,615446123","ATSEG_00010_615634052,ATSEG_00012_615634108,ATSEG_00259_828396879,ATSEG_00260_841160805,ATSEG_00261_841161049,ATSEG_00262_841161571,ATSEG_02670_841160862,ATSEG_02672_841161189,ATSEG_02673_841161213,ATSEG_04227_828396929,ATSEG_04228_841161061,ATSEG_04229_841161608,ATSEG_05266_615446123",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00010,inter-facility,2,"CL_0.5_06589,CL_0.5_06610","[{""endpoint_cluster_id"": ""CL_0.5_06589"", ""x"": -73193.314, ""y"": -75724.595, ""facility_uid"": ""PC_AT:1114P5329500"", ""facility_code"": ""1114P5329500"", ""facility_name"": ""EPAL"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 27.389, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_06610"", ""x"": -73014.866, ""y"": -76573.294, ""facility_uid"": ""SE_AT:1114S5340500"", ""facility_code"": ""1114S5340500"", ""facility_name"": ""AREIAS (VFX)"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 20.377, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","PC_AT:1114P5329500,SE_AT:1114S5340500",False,False,False,60kv,em exploração,60kv,em exploração,6,1240.0276540610475,1.240028,"615634066,828396942,828396774,612753015,615446180,615634094","ATSEG_00011_615634066,ATSEG_02667_828396942,ATSEG_04226_828396774,ATSEG_05265_612753015,ATSEG_05267_615446180,ATSEG_05298_615634094",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
