transformer_id,hv_bus,lv_bus,hv_kv,lv_kv,sn_mva,vk_percent,vkr_percent,pfe_kw,i0_percent,shift_degree,tap_side,tap_neutral,tap_min,tap_max,tap_step_percent,tap_pos,source_status,source_id,evidence,match_distance_m,parameter_status,pre_calibration_sn_mva,capacity_calibration_factor,p_hv_mw,q_hv_mvar,p_lv_mw,q_lv_mvar,pl_mw,ql_mvar,i_hv_ka,i_lv_ka,vm_hv_pu,va_hv_degree,vm_lv_pu,va_lv_degree,loading_percent,solved_tap_pos,initial_tap_pos,final_lv_vm_pu,tap_position_status,flow_result_status
TRAFO:00112,BUS:OSM:way:151162379:220,BUS:EREDES:0101S5000600:60,220,60,170.0,12.0,0.4,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:11639105022,"{""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""transformer"": ""main"", ""voltage:primary"": ""220000"", ""voltage:secondary"": ""60000""}",605.6872294785476,VOLTAGE_PAIR_PROXY+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,170.0,1.0,49.01184267810151,8.490651871665525,-48.953175626619114,-6.731618383142927,0.058667051482395,1.759033488522598,0.1310413286225886,0.4804848716161584,0.9961628914760348,-1.1134358017018475,0.9895940007558466,-3.111910712665631,29.372619173202192,0.0,0.0,0.9895940007558466,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00113,BUS:OSM:way:151162379:220,BUS:EREDES:0101S5000600:60,220,60,170.0,12.0,0.4,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:11639105023,"{""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""transformer"": ""main"", ""voltage:primary"": ""220000"", ""voltage:secondary"": ""60000""}",577.9750427642166,VOLTAGE_PAIR_PROXY+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,170.0,1.0,49.01184267810151,8.490651871665525,-48.953175626619114,-6.731618383142927,0.058667051482395,1.759033488522598,0.1310413286225886,0.4804848716161584,0.9961628914760348,-1.1134358017018475,0.9895940007558466,-3.111910712665631,29.372619173202192,0.0,0.0,0.9895940007558466,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00114,BUS:OSM:way:144584585:220,BUS:JUNCTION:60:02485,220,60,126.0,12.0,0.4,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:11639105081,"{""devices"": ""3"", ""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""phases"": ""1"", ""power"": ""transformer"", ""rating"": ""126 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""220000"", ""voltage:secondary"": ""60000""}",75.11409051895737,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,126.0,1.0,8.755996132651767,4.6768410722366,-8.75286786882034,-4.5830453095150485,0.0031282638314262,0.0937957627215517,0.0260509554043444,0.0955201698159298,0.9999999999999998,-0.0035627127508972,0.9953040361662704,-0.474800655846907,7.878370822323691,0.0,0.0,0.9953040361662704,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00115,BUS:OSM:way:144588414:220,BUS:JUNCTION:60:00980,220,60,170.0,12.0,0.4,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:11643251136,"{""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""170 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""220000"", ""voltage:secondary"": ""60000""}",66.88873326840546,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,170.0,1.0,13.508490235904889,10.405744333544463,-13.50162585686222,-10.199927400378971,0.0068643790426676,0.205816933165492,0.0448241213497341,0.1643551116156919,0.9983236467499496,-4.513173093061707,0.9906954498587042,-5.051085776404472,10.047226016542313,0.0,0.0,0.9906954498587042,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00116,BUS:OSM:way:144588414:220,BUS:JUNCTION:60:00980,220,60,170.0,12.0,0.4,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:11643251137,"{""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""170 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""220000"", ""voltage:secondary"": ""60000""}",50.877134957832105,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,170.0,1.0,13.508490235904889,10.405744333544463,-13.50162585686222,-10.199927400378971,0.0068643790426676,0.205816933165492,0.0448241213497341,0.1643551116156919,0.9983236467499496,-4.513173093061707,0.9906954498587042,-5.051085776404472,10.047226016542313,0.0,0.0,0.9906954498587042,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00117,BUS:OSM:way:144622215:150,BUS:JUNCTION:60:00869,150,60,120.0,12.0,0.45,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:11649173351,"{""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""120 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""150000"", ""voltage:secondary"": ""60000""}",110.61708568672826,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,120.0,1.0,8.329832231824234,-3.5188621764266825,-8.326629055380764,3.6042201342314217,0.0032031764434705,0.0853579578047387,0.0355731980866579,0.0889329952166448,0.978403973507267,-14.443929000633148,0.9817167566095308,-14.948340803384516,7.70182330922544,-8.0,0.0,0.9817167566095308,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00118,BUS:OSM:way:163194137:400,BUS:OSM:way:163194137:150,400,150,450.0,12.0,0.3,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:11650607137,"{""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""450 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""400000"", ""voltage:secondary"": ""150000"", ""windings:auto"": ""yes""}",20.89479348861807,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,450.0,1.0,232.17007933013795,36.872669758902425,-231.80196042290189,-22.1525156750069,0.3681189072360666,14.720154083895526,0.3391712819671992,0.9044567519125314,1.0004047096458797,-6.22474269929547,0.9909496991448038,-9.78996406634544,52.21883491870746,0.0,0.0,0.9909496991448038,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00119,BUS:OSM:way:163194137:150,BUS:JUNCTION:60:00723,150,60,170.0,12.0,0.45,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:11650607138,"{""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""170 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""150000"", ""voltage:secondary"": ""60000""}",119.70874739144088,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,170.0,1.0,21.573617548921735,11.318003475713628,-21.557618491537347,-10.891662033325938,0.0159990573843877,0.4263414423876899,0.0946266609147372,0.236566652286843,0.9909496991448038,-9.78996406634544,0.9824322944386294,-10.66797472933758,14.461604510727962,-8.0,0.0,0.9824322944386294,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00120,BUS:OSM:way:163194137:150,BUS:JUNCTION:60:00723,150,60,170.0,12.0,0.45,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:11650607139,"{""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""power"": ""transformer"", ""rating"": ""170 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""150000"", ""voltage:secondary"": ""60000""}",112.78242753103753,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,170.0,1.0,21.573617548921735,11.318003475713628,-21.557618491537347,-10.891662033325938,0.0159990573843877,0.4263414423876899,0.0946266609147372,0.236566652286843,0.9909496991448038,-9.78996406634544,0.9824322944386294,-10.66797472933758,14.461604510727962,-8.0,0.0,0.9824322944386294,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
TRAFO:00121,BUS:OSM:way:144398555:220,BUS:JUNCTION:60:00459,220,60,120.0,12.0,0.4,0.0,0.0,0.0,hv,0,-8,8,1.25,0,DIRECT_OSM_TRANSFORMER_TAG,OSM:node:11668920140,"{""devices"": ""3"", ""frequency"": ""50"", ""operator"": ""REN"", ""operator:wikidata"": ""Q1862842"", ""phases"": ""1"", ""power"": ""transformer"", ""rating"": ""120 MVA"", ""transformer"": ""main"", ""voltage:primary"": ""220000"", ""voltage:secondary"": ""60000""}",71.04244940445459,OSM_NAMEPLATE_MVA_WITH_PROXY_IMPEDANCE+REN_VOLTAGE_PAIR_AGGREGATE_CALIBRATION,120.0,1.0,-28.45717803872188,4.995749621113556,28.485003655262027,-4.161445014078771,0.0278256165401451,0.8343046070347855,0.0758227823709759,0.2780168686935786,1.0,3.983231648279518,0.9963663818255944,5.628546695657721,24.076967096924168,0.0,0.0,0.9963663818255944,INFERRED_DISCRETE_VOLTAGE_CONTROL_NOT_OPERATOR_OBSERVED,AC_POWER_FLOW_SOLUTION_NOT_MEASURED_TELEMETRY
