generator_id,source_id,name,generation_source,bus_id,p_mw,q_mvar,p_status,q_status,operating_point_status
GEN:00931,OSM:node:1695975905,17,wind,BUS:EREDES:1713S5014700:60,1.6966281109764676,0.15221137373165763,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00932,OSM:node:1701794123,AG10,wind,BUS:EREDES:0803S5904000:60,1.6966281109764676,-0.10038613351449435,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00933,OSM:node:1695964731,5,wind,BUS:EREDES:1713S5014700:60,1.6966281109764676,0.15221137373165763,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00934,OSM:node:1695963650,6,wind,BUS:EREDES:1713S5014700:60,1.6966281109764676,0.15221137373165763,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00935,OSM:node:1695954548,14,wind,BUS:EREDES:1714S5022900:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00936,OSM:node:1701463988,AG1,wind,BUS:EREDES:0803S5904000:60,1.6966281109764676,-0.10038613351449435,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00937,OSM:node:1695955475,13,wind,BUS:EREDES:1714S5022900:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00938,OSM:node:1701463972,AG5,wind,BUS:EREDES:0803S5904000:60,1.6966281109764676,-0.10038613351449435,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00939,OSM:node:1695967650,1,wind,BUS:EREDES:1713S5014700:60,1.6966281109764676,0.15221137373165763,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00940,OSM:node:1695957804,12,wind,BUS:EREDES:1714S5022900:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00941,OSM:node:1605606901,,wind,BUS:EREDES:1107S5221400:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00942,OSM:node:1112084334,,wind,BUS:EREDES:1101S5423500:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00943,OSM:way:810828700,Central Fotovoltaica Inov OP,solar,BUS:EREDES:1318S5020300:60,0.005593569006132073,1.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00945,OSM:node:1111642005,,wind,BUS:EREDES:1602S5021100:60,1.6966281109764676,0.5317694004022415,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00946,OSM:node:1111642225,,wind,BUS:EREDES:1602S5021100:60,1.6966281109764676,0.5317694004022415,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00947,OSM:node:1111642322,,wind,BUS:EREDES:1602S5021100:60,1.6966281109764676,0.5317694004022415,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00948,OSM:node:1112084323,,wind,BUS:OSM:way:151166980:220,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00949,OSM:node:1718676825,,wind,BUS:EREDES:1113S5900500:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00950,OSM:way:943599444,Central Fotovoltaica de Alfouvar,solar,BUS:EREDES:1111S5200000:60,0.005593569006132073,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00951,OSM:node:1112084353,,wind,BUS:EREDES:1113S5480800:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00952,OSM:node:1112084365,,wind,BUS:EREDES:1113S5480800:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00953,OSM:node:1112084367,,wind,BUS:EREDES:1101S5423500:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00954,OSM:node:1112084395,,wind,BUS:EREDES:1113S5480800:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00955,OSM:way:544239109,Central Hidroelétrica do Pego do Altar,hydro,BUS:EREDES:1501S5053800:60,2.1719674097715176,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00956,OSM:node:1112084399,,wind,BUS:OSM:way:151166980:220,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00957,OSM:way:941627021,Central Solar Santo Varão,solar,BUS:EREDES:0615S5006300:60,0.005593569006132073,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00958,OSM:way:1041258399,Central Fotovoltaica Inov Lx,solar,BUS:EREDES:1114P5340100:60,0.005593569006132073,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00959,OSM:node:1605606900,,wind,BUS:EREDES:1111S5200000:60,1.6966281109764676,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00960,OSM:node:1110200059,,wind,BUS:EREDES:0609P5021200:60,1.6966281109764676,-0.16027948478925294,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00961,OSM:node:267798883,,wind,BUS:EREDES:1107S5901900:60,1.6966281109764676,1.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00962,OSM:node:267798884,,wind,BUS:EREDES:1107S5901900:60,1.6966281109764676,1.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00963,OSM:node:267798885,,wind,BUS:EREDES:1107S5901900:60,1.6966281109764676,1.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00964,OSM:node:267798886,,wind,BUS:EREDES:1107S5901900:60,1.6966281109764676,1.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00965,OSM:way:1379351755,UPP Porto de Mós,solar,BUS:EREDES:1016P5500000:60,0.005593569006132073,0.0,MERIT_ORDER_AND_REN_SOURCE_TOTALS,FIXED_PQ_SCENARIO_ASSUMPTION,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00966,OSM:node:1110200053,,wind,BUS:EREDES:0609P5021200:60,1.6966281109764676,-0.16027948478925294,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00967,OSM:node:1110200061,,wind,BUS:EREDES:0609P5021200:60,1.6966281109764676,-0.16027948478925294,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
GEN:00968,OSM:way:1051927841,Central Solar de Cachopo,solar,BUS:EREDES:0814S5060300:60,0.005593569006132073,0.1369342832923373,MERIT_ORDER_AND_REN_SOURCE_TOTALS,SOLVED_BUS_Q_ALLOCATED_BY_ASSET_NAMEPLATE,PUBLIC_TOTAL_CALIBRATED_SCENARIO_NOT_UNIT_TELEMETRY
