load_id,bus_id,p_mw,q_mvar,observed_p_mw,ren_residual_p_mw,power_factor,substation_name,facility_code,timestamp,source_status,reactive_power_status,network_connection_status,in_service_scenario,operating_point_status
LOAD:00272,BUS:EREDES:1310S5000800:60,28.9,7.243022743815241,28.9,0.0,0.97,LORDELO,1310S5000800,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00273,BUS:EREDES:1310S5009200:60,46.83,11.736704328472934,46.83,0.0,0.97,REBORDOSA,1310S5009200,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00274,BUS:EREDES:1311S5006900:60,32.76,8.210429933819631,32.76,0.0,0.97,ENTRE-OS-RIOS,1311S5006900,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00275,BUS:EREDES:1311S5012400:60,32.83,8.227973587524373,32.83,0.0,0.97,BUSTELO,1311S5012400,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00276,BUS:EREDES:1311S5023500:60,21.63,5.420988994765525,21.63,0.0,0.97,SANTIAGO DE SUBARRIFANA,1311S5023500,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00277,BUS:EREDES:1312S5012600:60,28.19,7.0650799705242795,28.19,0.0,0.97,LAPA,1312S5012600,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00278,BUS:EREDES:1312S5013100:60,49.7,12.455994130367388,49.7,0.0,0.97,BOAVISTA (Porto),1312S5013100,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00279,BUS:EREDES:1312S5013200:60,32.66,8.185367571384283,32.66,0.0,0.97,CAMPO ALEGRE,1312S5013200,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00280,BUS:EREDES:1312S5013300:60,45.66,11.443474687979377,45.66,0.0,0.97,ANTAS,1312S5013300,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00281,BUS:EREDES:1312S5013800:60,32.23,8.077599412912292,32.23,0.0,0.97,CAMPO 24 DE AGOSTO,1312S5013800,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00282,BUS:EREDES:1312S5013900:60,35.91,8.999894350533056,35.91,0.0,0.97,MONTE DOS BURGOS,1312S5013900,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00283,BUS:EREDES:1312S5014000:60,33.08,8.290629493612741,33.08,0.0,0.97,PARANHOS,1312S5014000,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00284,BUS:EREDES:1312S5014100:60,23.67,5.932261188446602,23.67,0.0,0.97,VITÓRIA,1312S5014100,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00285,BUS:EREDES:1313S5010600:60,57.25,14.348202494236077,57.25,0.0,0.97,BEIRIZ,1313S5010600,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00286,BUS:EREDES:1314S5003200:60,47.14,11.814397652022508,47.14,0.0,0.97,SÃO MARTINHO DO CAMPO,1314S5003200,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00287,BUS:EREDES:1314S5004600:60,27.37,6.859568598554435,27.37,0.0,0.97,AREIAS NORTE,1314S5004600,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00288,BUS:EREDES:1315S5007300:60,34.62,8.676589875117081,34.62,0.0,0.97,ALFENA,1315S5007300,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00289,BUS:EREDES:1315S5012200:60,36.12,9.052525311647283,36.12,0.0,0.97,VALONGO,1315S5012200,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00290,BUS:EREDES:1315S5021000:60,32.52,8.1502802639748,32.52,0.0,0.97,PALMILHEIRA,1315S5021000,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00291,BUS:EREDES:1316S5001600:60,42.03,10.533710931576284,42.03,0.0,0.97,VILA DO CONDE,1316S5001600,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00292,BUS:EREDES:1316S5005600:60,20.99,5.260589875179305,20.99,0.0,0.97,MOSTEIRÔ,1316S5005600,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00293,BUS:EREDES:1316S5022100:60,19.25,4.82450476880427,19.25,0.0,0.97,MINDELO,1316S5022100,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00294,BUS:EREDES:1317S5001800:60,49.11,12.30812619199884,49.11,0.0,0.97,VILAR DO PARAÍSO,1317S5001800,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00295,BUS:EREDES:1317S5002800:60,50.59,12.679049156041977,50.59,0.0,0.97,VILA NOVA DE GAIA,1317S5002800,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00296,BUS:EREDES:1317S5003500:60,42.6,10.676566397457762,42.6,0.0,0.97,VERDINHO,1317S5003500,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
LOAD:00297,BUS:EREDES:1317S5005200:60,46.7,11.704123257306984,46.7,0.0,0.97,PEDROSO,1317S5005200,2026-01-20T19:45:00+00:00,DIRECT_EREDES_ACTIVE_POWER,SCENARIO_ASSUMPTION_FIXED_POWER_FACTOR,CONNECTED_TO_LINE_OR_TRANSFORMER,True,DIRECT_EREDES_P_WITH_POWER_FACTOR_DERIVED_Q
