adapter_view,adapter_entity_type,edge_id,edge_type,source_node_id,target_node_id,line_id,line_name,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,asset_type,in_service,source_scenario_id,parameterization_basis,line_id_policy,policy_class,manual_review_status,overhead_share,cable_share,bridge_role,repeated_bottleneck,preferred_next_scenario,publication_allowed,notes,from_bus_degree,to_bus_degree,from_bus_voltage_kv,to_bus_voltage_kv,max_target_loading_percent,top_congested_appearance_count,bottleneck_persistence_count,r_over_x,is_mixed_corridor,is_policy_weighted_mixed,is_parallel_equivalent_required,endpoint_voltage_pair,prov_publication_allowed,prov_diagnostic_only,prov_source_scenario_id,prov_trace_source_ids,prov_assumption_ids,stage4_benchmark_eligible,stage4_exclusion_reason,governance_sensitive_flag,leakage_group_id,source_release_id
homogeneous_bus_line_graph,line_edge,22,line,407,427,22,ATPL_00089,407,427,6.666346,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,9,1,60.0,60.0,5.841277895867997,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|22,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,23,line,445,409,23,ATPL_00090,445,409,6.280318,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,1,6,60.0,60.0,7.826276874430925,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|23,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,25,line,410,433,25,ATPL_00120,410,433,0.309408,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,2,2,60.0,60.0,8.510411059801466,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|25,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,26,line,407,433,26,ATPL_00121,407,433,7.376699,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,9,2,60.0,60.0,16.37439883531806,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|26,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,27,line,419,408,27,ATPL_00139,419,408,1.731383,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,2,13,60.0,60.0,18.592114549520897,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|27,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,28,line,415,408,28,ATPL_00140,415,408,4.697424,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,2,13,60.0,60.0,4.638502672191361,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|28,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,29,line,407,421,29,ATPL_00141,407,421,9.269951,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,9,2,60.0,60.0,26.18923077367378,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|29,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,30,line,431,407,30,ATPL_00142,431,407,8.445896,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,2,9,60.0,60.0,17.76163859709214,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|30,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,31,line,439,408,31,ATPL_00143,439,408,3.096514,0.0469,0.105,308.0,0.599,cable,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,,,,,,,False,,False,,2,13,60.0,60.0,3.1611367393259475,0,0,0.4466666666666666,False,False,False,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,False,line|31,pt_grid_benchmark_stage3_graph_v1
homogeneous_bus_line_graph,line_edge,32,line,542,544,32,ATPL_00147,542,544,2.948552,0.0709,0.2425,158.6,0.599,mixed,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,benchmark_diagnostic,ATPL_00147,MIXED_PARALLEL_EQUIVALENT_REQUIRED,MANUAL_REVIEW_DONE,,,DOWNSTREAM_TRANSFER_BOTTLENECK,True,S30_PARALLEL_EQUIVALENT_ATPL_00147_DIAGNOSTIC,False,Manual findings indicate a real short mixed corridor that becomes the downstream bottleneck once ATPL_00304 is strengthened; current evidence favors transfer-capability-style treatment over generic weighted fallback.,2,2,60.0,60.0,141.8930495549611,1,1,0.2923711340206186,True,False,True,60.0-60.0,False,True,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,MIXED_CORRIDOR_POLICY_WEIGHTED;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281;SRC_EREDES_DMAC33281; SRC_ES_PRYSMIAN_VOLTALENE_RHZ1;SRC_PANDAPOWER_STD;SRC_PANDAPOWER_STD;SRC_EREDES_DMAC33281,CABLE_RXC_BENCHMARK_CURRENT_SOURCE;CIRCUIT_COUNT_1_ASSUMPTION;MIXED_LINE_50_50_PROXY;OH_R_X_C_BENCHMARK,True,,True,line|32,pt_grid_benchmark_stage3_graph_v1
