facility_node_set,facility_buffer_m,endpoint_snap_threshold_m,merge_mode,circuit_id,classification,terminal_count,terminal_endpoint_cluster_ids,terminal_details_json,terminal_facility_uids,ambiguous_facility_match,mixed_voltage,mixed_status,voltage,status,voltage_values,status_values,segment_count,total_length_m,total_length_km,source_line_ids,line_ids,geometry_type,r,x,b,thermal_limit,transformer_impedance,tap_settings
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00246,inter-facility,2,"CL_0.5_00728,CL_0.5_02089","[{""endpoint_cluster_id"": ""CL_0.5_00728"", ""x"": -54295.749, ""y"": -87647.351, ""facility_uid"": ""PC_AT:1106P5397000"", ""facility_code"": ""1106P5397000"", ""facility_name"": ""CARRICHE"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 66.036, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_02089"", ""x"": -51730.476, ""y"": -92404.415, ""facility_uid"": ""SE_AT:1106S5200300"", ""facility_code"": ""1106S5200300"", ""facility_name"": ""ALAMEDA"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 4.122, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","PC_AT:1106P5397000,SE_AT:1106S5200300",False,False,False,60kv,em exploração,60kv,em exploração,5,6666.345587565588,6.666346,"1352192088,1352192109,211866347,978418,776457580","ATSEG_00409_1352192088,ATSEG_00410_1352192109,ATSEG_01180_211866347,ATSEG_03459_978418,ATSEG_04187_776457580",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00247,inter-facility,2,"CL_0.5_03382,CL_0.5_05959","[{""endpoint_cluster_id"": ""CL_0.5_03382"", ""x"": -48617.963, ""y"": -90159.337, ""facility_uid"": ""SE_AT:1106S5800000"", ""facility_code"": ""1106S5800000"", ""facility_name"": ""EXPO SUL"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 10.653, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_05959"", ""x"": -50756.406, ""y"": -92985.144, ""facility_uid"": ""PC_AT:1106P5906500"", ""facility_code"": ""1106P5906500"", ""facility_name"": ""PS ALTO S.JOÃO"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 36.089, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:1106S5800000,PC_AT:1106P5906500",False,False,False,60kv,em exploração,60kv,em exploração,7,6280.317725090702,6.280318,"1420034660,189627871,189627839,1420034703,779862144,779862360,1420034651","ATSEG_00411_1420034660,ATSEG_01175_189627871,ATSEG_01985_189627839,ATSEG_02832_1420034703,ATSEG_04188_779862144,ATSEG_04189_779862360,ATSEG_04377_1420034651",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00248,ambiguous,2,"CL_0.5_00732,CL_0.5_05370","[{""endpoint_cluster_id"": ""CL_0.5_00732"", ""x"": -48616.364, ""y"": -90159.239, ""facility_uid"": ""SE_AT:1106S5800000"", ""facility_code"": ""1106S5800000"", ""facility_name"": ""EXPO SUL"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 12.251, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_05370"", ""x"": -49068.848, ""y"": -87154.844, ""facility_uid"": ""PC_AT:1107P5097500"", ""facility_code"": ""1107P5097500"", ""facility_name"": ""MOSCAVIDE"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 17.059, ""inside_facility"": true, ""ambiguous_facility_match"": true, ""candidate_facility_count"": 2}]","SE_AT:1106S5800000,PC_AT:1107P5097500",True,False,False,60kv,desligado/reserva,60kv,desligado/reserva,13,4424.027361551561,4.424027,"1420034717,76427998,76428024,76428030,76428915,76427974,76428905,1002634,1002634,76427984,76428008,76428014,76428941","ATSEG_00412_1420034717,ATSEG_01665_76427998,ATSEG_01666_76428024,ATSEG_01667_76428030,ATSEG_01668_76428915,ATSEG_01828_76427974,ATSEG_01829_76428905,ATSEG_03645_1002634,ATSEG_03672_1002634,ATSEG_04632_76427984,ATSEG_04633_76428008,ATSEG_04634_76428014,ATSEG_04635_76428941",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00249,single-facility,2,"CL_0.5_00733,CL_0.5_05911","[{""endpoint_cluster_id"": ""CL_0.5_00733"", ""x"": 56992.207, ""y"": 161192.783, ""facility_uid"": ""PC_AT:1805P5021600"", ""facility_code"": ""1805P5021600"", ""facility_name"": ""RIBABELIDE"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 1.957, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_05911"", ""x"": 62877.381, ""y"": 159018.969, ""facility_uid"": """", ""facility_code"": """", ""facility_name"": """", ""facility_type"": """", ""facility_distance_m"": NaN, ""inside_facility"": false, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 0}]",PC_AT:1805P5021600,False,False,False,60kv,em exploração,60kv,em exploração,3,6498.737132731285,6.498737,"1214294585,1088455210,1088455210","ATSEG_00413_1214294585,ATSEG_02768_1088455210,ATSEG_04317_1088455210",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00250,single-facility,2,"CL_0.5_00736,CL_0.5_06320","[{""endpoint_cluster_id"": ""CL_0.5_00736"", ""x"": 82166.411, ""y"": -137064.711, ""facility_uid"": ""PC_AT:0709P5902800"", ""facility_code"": ""0709P5902800"", ""facility_name"": ""ÁLAMOS"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 29.309, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_06320"", ""x"": 88737.147, ""y"": -153603.457, ""facility_uid"": """", ""facility_code"": """", ""facility_name"": """", ""facility_type"": """", ""facility_distance_m"": NaN, ""inside_facility"": false, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 0}]",PC_AT:0709P5902800,False,False,False,60kv,em exploração,60kv,em exploração,4,24986.861617062295,24.986862,"1331715909,279609933,137982142,279609933","ATSEG_00414_1331715909,ATSEG_02249_279609933,ATSEG_04862_137982142,ATSEG_04952_279609933",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00251,self-loop,2,"CL_0.5_00737,CL_0.5_00738","[{""endpoint_cluster_id"": ""CL_0.5_00737"", ""x"": 82186.835, ""y"": -137047.959, ""facility_uid"": ""PC_AT:0709P5902800"", ""facility_code"": ""0709P5902800"", ""facility_name"": ""ÁLAMOS"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 41.82, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_00738"", ""x"": 82184.194, ""y"": -137054.649, ""facility_uid"": ""PC_AT:0709P5902800"", ""facility_code"": ""0709P5902800"", ""facility_name"": ""ÁLAMOS"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 40.329, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","PC_AT:0709P5902800,PC_AT:0709P5902800",False,False,False,60kv,em exploração,60kv,em exploração,1,7.192411456141802,0.007192,1562420389,ATSEG_00415_1562420389,LineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00252,single-facility,2,"CL_0.5_04410,CL_0.5_05964","[{""endpoint_cluster_id"": ""CL_0.5_04410"", ""x"": 74070.858, ""y"": 10324.483, ""facility_uid"": """", ""facility_code"": """", ""facility_name"": """", ""facility_type"": """", ""facility_distance_m"": NaN, ""inside_facility"": false, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 0}, {""endpoint_cluster_id"": ""CL_0.5_05964"", ""x"": 73705.428, ""y"": 11773.287, ""facility_uid"": ""SE_AT:0511S5011400"", ""facility_code"": ""0511S5011400"", ""facility_name"": ""VILA VELHA DE RODÃO"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 8.85, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]",SE_AT:0511S5011400,False,False,False,60kv,em exploração,60kv,em exploração,3,1779.035043017998,1.779035,"1237836278,1237836285,1237836270","ATSEG_00416_1237836278,ATSEG_02835_1237836285,ATSEG_04380_1237836270",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00253,tap / multi-terminal,3,"CL_0.5_00932,CL_0.5_04413,CL_0.5_05246","[{""endpoint_cluster_id"": ""CL_0.5_00932"", ""x"": 61534.548, ""y"": -84.905, ""facility_uid"": ""SE_AT:1413S5632800"", ""facility_code"": ""1413S5632800"", ""facility_name"": ""PRACANA"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 28.599, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_04413"", ""x"": 73696.048, ""y"": 11770.703, ""facility_uid"": ""SE_AT:0511S5011400"", ""facility_code"": ""0511S5011400"", ""facility_name"": ""VILA VELHA DE RODÃO"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 18.356, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_05246"", ""x"": 87999.051, ""y"": 28679.305, ""facility_uid"": ""PC_AT:0502S5007000"", ""facility_code"": ""0502S5007000"", ""facility_name"": ""CASTELO BRANCO"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 28.917, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:1413S5632800,SE_AT:0511S5011400,PC_AT:0502S5007000",False,False,False,60kv,em exploração,60kv,em exploração,9,45467.43301819769,45.467433,"1682420976,1682420976,1022283,1266220629,1682421137,1682420976,1022157,1022283,1682421150","ATSEG_00417_1682420976,ATSEG_00523_1682420976,ATSEG_00783_1022283,ATSEG_02837_1266220629,ATSEG_02902_1682421137,ATSEG_02951_1682420976,ATSEG_03549_1022157,ATSEG_03714_1022283,ATSEG_04432_1682421150",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00254,inter-facility,2,"CL_0.5_00745,CL_0.5_04421","[{""endpoint_cluster_id"": ""CL_0.5_00745"", ""x"": 37897.028, ""y"": 25957.501, ""facility_uid"": ""SE_AT:0509S5003300"", ""facility_code"": ""0509S5003300"", ""facility_name"": ""SERTÃ"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 28.63, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_04421"", ""x"": 26637.756, ""y"": 38244.891, ""facility_uid"": ""SE_AT:1013S5011300"", ""facility_code"": ""1013S5011300"", ""facility_name"": ""PEDROGÃO"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 26.404, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","SE_AT:0509S5003300,SE_AT:1013S5011300",False,False,False,60kv,em exploração,60kv,em exploração,3,19436.24237927972,19.436242,"1264966850,1264966875,1264966850","ATSEG_00418_1264966850,ATSEG_00419_1264966875,ATSEG_02843_1264966850",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
B,100,0.5,voltage-status-aware,UF_0p5_voltage-status-aware_00255,inter-facility,2,"CL_0.5_00746,CL_0.5_06374","[{""endpoint_cluster_id"": ""CL_0.5_00746"", ""x"": -27060.825, ""y"": 4053.073, ""facility_uid"": ""PC_AT:1016P5500000"", ""facility_code"": ""1016P5500000"", ""facility_name"": ""PORTO DE MÓS"", ""facility_type"": ""PC_AT"", ""facility_distance_m"": 19.905, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}, {""endpoint_cluster_id"": ""CL_0.5_06374"", ""x"": -27314.383, ""y"": 6971.479, ""facility_uid"": ""SE_AT:1016S5000100"", ""facility_code"": ""1016S5000100"", ""facility_name"": ""SÃO JORGE"", ""facility_type"": ""SE_AT"", ""facility_distance_m"": 24.615, ""inside_facility"": true, ""ambiguous_facility_match"": false, ""candidate_facility_count"": 1}]","PC_AT:1016P5500000,SE_AT:1016S5000100",False,False,False,60kv,em exploração,60kv,em exploração,4,3155.72013130272,3.15572,"1402281621,198639233,1054951177,198639218","ATSEG_00420_1402281621,ATSEG_01278_198639233,ATSEG_02637_1054951177,ATSEG_04924_198639218",MultiLineString,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED,MISSING_NOT_ESTIMATED
