bus_id,voltage_kv,lon,lat,facility_id,facility_name,facility_code,facility_type,source,source_status,endpoint_match_distance_m
BUS:OSM:way:1338738672:150,150,-7.476719966666666,41.71467786190476,OSM:way:1338738672,Subestação de Chaves,,substation,OpenStreetMap,DIRECT_OSM,10.474127479232632
BUS:OSM:way:1258323290:150,150,-8.007169766666667,41.70197543333333,OSM:way:1258323290,Subestação da Central Hidroelétrica de Vila Nova I,,substation,OpenStreetMap,DIRECT_OSM,8.791833440393228
BUS:JUNCTION:150:03448,150,-8.2353441,41.5191687,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:150:03449,150,-8.1921288,41.5220274,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:150:03450,150,-8.2004732,41.5208155,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:OSM:way:163194137:150,150,-8.516022608333333,37.19823031666667,OSM:way:163194137,Subestação de Portimão,SPO,substation,OpenStreetMap,DIRECT_OSM,72.34608024727876
BUS:JUNCTION:150:03452,150,-8.516655,37.2296576,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:OSM:way:163195991:150,150,-8.4875411125,37.5754926125,OSM:way:163195991,Subestação de Tração de Luzianes,,substation,OpenStreetMap,DIRECT_OSM,52.456930333859646
BUS:OSM:way:115732510:150,150,-8.190101716666666,37.66715043333333,OSM:way:115732510,Subestação de Ourique,SOQ,substation,OpenStreetMap,DIRECT_OSM,45.16394472806916
BUS:JUNCTION:150:03456,150,-8.2805398,37.2734964,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:150:03457,150,-8.2883772,37.2782527,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:OSM:way:163204230:150,150,-7.976752707692308,37.57505343846154,OSM:way:163204230,Subestação de Neves-Corvo,,substation,OpenStreetMap,DIRECT_OSM,21.451658976287913
BUS:JUNCTION:150:03459,150,-8.683863059999998,38.59087602,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:JUNCTION:150:03460,150,-8.6173956,38.4202835,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:OSM:way:156176120:150,150,-8.86211582857143,38.53623055714286,OSM:way:156176120,Subestação de Setúbal,SSB,substation,OpenStreetMap,DIRECT_OSM,40.042499638637274
BUS:OSM:way:163214308:150,150,-8.795565759999999,37.95684198,OSM:way:163214308,Subestação da Refinaria de Sines,,substation,OpenStreetMap,DIRECT_OSM,3.1323680206184674
BUS:JUNCTION:150:03463,150,-8.7693778,37.996205,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:OSM:way:1228550798:150,150,-8.5985733,38.419397555555555,OSM:way:1228550798,Posto de Corte do Monte da Pedra,PCMP,substation,OpenStreetMap,DIRECT_OSM,244.76197633098238
BUS:OSM:way:163214309:150,150,-8.81815886,37.98170624,OSM:way:163214309,Subestação Artland Sines,,substation,OpenStreetMap,DIRECT_OSM,106.19155790369683
BUS:OSM:way:171253574:150,150,-9.12038034,38.581555200000004,OSM:way:171253574,Subestação de Fernão Ferro,SFF,substation,OpenStreetMap,DIRECT_OSM,127.59028073158525
BUS:OSM:way:1495613543:150,150,-9.17664228,38.61730534,OSM:way:1495613543,,,substation,OpenStreetMap,DIRECT_OSM,1.779843719001497
BUS:JUNCTION:150:03469,150,-9.0607192,38.5855003,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:OSM:way:163226996:150,150,-9.065850444444443,38.618913166666665,OSM:way:163226996,Subestação da Lusosider,,substation,OpenStreetMap,DIRECT_OSM,4.406176957435058
BUS:OSM:way:1495613548:150,150,-9.22401262,38.65578278,OSM:way:1495613548,,,substation,OpenStreetMap,DIRECT_OSM,1.9272496736283988
BUS:OSM:way:163226993:150,150,-9.12305662,38.61745181,OSM:way:163226993,Subestação de Tração do Fogueteiro,,substation,OpenStreetMap,DIRECT_OSM,51.8242411559446
BUS:JUNCTION:150:03473,150,-8.6818049,38.6051903,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
BUS:OSM:way:163226982:150,150,-8.64067215,38.6561876875,OSM:way:163226982,Subestação de Tração de Pegões,,substation,OpenStreetMap,DIRECT_OSM,12.6210675466245
BUS:OSM:way:163226990:150,150,-8.986080876923078,38.58758277692307,OSM:way:163226990,Subestação da Quinta do Anjo,,substation,OpenStreetMap,DIRECT_OSM,109.84408961209888
BUS:OSM:way:163227021:150,150,-9.22289386923077,38.66511687692308,OSM:way:163227021,Subestação da Trafaria,STFR,substation,OpenStreetMap,DIRECT_OSM,21.554217977787424
BUS:OSM:way:165898049:150,150,-8.51462178,38.937806339999995,OSM:way:165898049,Subestação de Tração da Quinta Grande,,substation,OpenStreetMap,DIRECT_OSM,61.317030808168184
BUS:JUNCTION:150:03478,150,-7.5533267,39.8261385,,,,line_endpoint_cluster,derived,ENDPOINT_CLUSTER_DERIVED,
