variant,attempts,converged,failures,max_abs_delta_vm_pu_min,median_delta_vm_pu_min,max_abs_delta_vm_pu_max,median_delta_vm_pu_max,max_abs_delta_maximum_line_loading_percent,median_delta_maximum_line_loading_percent,max_abs_delta_maximum_transformer_loading_percent,median_delta_maximum_transformer_loading_percent,max_abs_delta_model_total_pt60_losses_mw,median_delta_model_total_pt60_losses_mw,max_abs_delta_model_net_import_mw,median_delta_model_net_import_mw,voltage_violation_cases,line_over100_cases
BASELINE,22,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21
FIXED_NEUTRAL_TAPS,22,22,0,1.2734258092450546e-13,0.0,7.034373084024992e-13,1.3766765505351941e-14,1.3926637620897964e-10,-4.547473508864641e-13,5.861267027285066e-11,2.4868995751603507e-13,2.5965789518522797e-09,0.0,6.279037734202575e-09,2.0531842892523855e-10,0,21
NO_COMPENSATION_FIXED_TAPS,22,22,0,0.009166526328900249,-0.004746955678902487,0.0006487203162015565,-0.00026331709733395936,0.24779137061048573,-0.08788102702798284,0.8923782366943271,0.15629896688296085,1.2835668885808786,0.5833775729039488,1.2835692710041258,0.5833775742312781,0,21
NO_LOAD_COMPENSATION,22,22,0,0.009559101068806086,-0.00494144695634946,0.0006813431089349731,-0.0004515348151199472,0.1815665468898544,-0.08459183869977949,0.8900078489591436,0.13717934710374635,1.5400034615038578,0.6565949836044922,1.5400075680263399,0.6565955439859863,0,21
NO_REACTORS,22,22,0,0.0009046191210928534,0.0002085878703032562,0.00022093082425533872,0.00019974165255221,0.22910370436933647,-0.01072904708571798,0.17628388767707293,0.0023128020837965835,0.23789907633337748,-0.017587495547957133,0.2378990571892814,-0.017587498868806506,0,21
PV_099,22,22,0,0.01119665160076233,-0.010799309722489658,0.010944301971989479,-0.010803506729087475,1.3697538292134368,1.2429457783592497,0.7615671392147902,0.6311643262705395,4.497620370327127,3.0557532573425163,4.497610510373306,3.0557479840490487,0,21
PV_101,22,22,0,0.011167384890501841,0.01078654454814737,0.010924094649968907,0.01080609632354923,1.33685597021406,-1.214954630543545,0.739722516194675,-0.617051476159773,3.8437933498902908,-2.380084112455279,3.843800598621783,-2.3800841584694012,0,21
Q_150_PERCENT,22,22,0,0.009751856923522984,0.0009094382997358874,0.009481383089372963,-0.008375109179663887,0.3508689176932194,0.2853859346336236,0.48925834651599587,-0.13435494397791103,0.5526785119342321,0.13958077293690963,0.5526864812718486,0.13957999894819295,0,21
Q_HALF,22,22,0,0.028453989646337496,-0.009053386597454027,0.014536489116574458,0.011129816915930735,1.4190188222974598,-0.23601880265074016,0.42318618264404506,0.2331116301330205,0.9139357504361101,-0.2160526811366239,0.913942610615095,-0.21605418117948716,0,21
RATIO_TAP_CONTROL,22,22,0,0.009033478630986469,0.00028987040811812026,0.00027694349041818,-9.148939161818248e-09,0.032132737192497984,0.0,4.305319811547115,0.03043436996797766,0.5332183898656808,-0.04557664879311574,0.5332179650476974,-0.04557664637468406,0,21
RATIO_TAP_FIXED_NEUTRAL,22,22,0,1.2734258092450546e-13,0.0,7.034373084024992e-13,1.3766765505351941e-14,1.3926637620897964e-10,-4.547473508864641e-13,5.861267027285066e-11,2.4868995751603507e-13,2.5965789518522797e-09,0.0,6.279037734202575e-09,2.0531842892523855e-10,0,21
