table,id,field,core,working,change
lines,LINE:001675,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001693,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001693,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001693,max_i_ka,0.4416,0.544,CHANGED
lines,LINE:001693,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001694,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001694,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001694,max_i_ka,0.5796,0.568,CHANGED
lines,LINE:001694,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001695,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001695,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001695,max_i_ka,0.5796,0.568,CHANGED
lines,LINE:001695,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001696,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001696,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001696,max_i_ka,0.5796,0.568,CHANGED
lines,LINE:001696,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001709,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001709,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001709,max_i_ka,0.6014499999999999,0.723,CHANGED
lines,LINE:001709,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001713,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001713,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001713,max_i_ka,0.30015,0.362,CHANGED
lines,LINE:001713,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001714,parameter_status,VOLTAGE_CLASS_ENGINEERING_PROXY,DIRECT_PUBLIC_TWO_CIRCUIT_WINTER_BOTTLENECK,CHANGED
lines,LINE:001714,parameter_source,config/model_config.json,https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001714,parameter_match_designation,,LN60 01/02 PC ORBACÉM-VILA NOVA DE CERVEIRA,CHANGED
lines,LINE:001714,max_i_status,ENGINEERING_PROXY,DIRECT_PUBLIC_TWO_CIRCUIT_WINTER_BOTTLENECK,CHANGED
lines,LINE:001714,max_i_ka,0.6969,0.544,CHANGED
lines,LINE:001714,parallel,1,2,CHANGED
lines,LINE:001714,parallel_status,SOURCE_CIRCUIT_FIELD_OR_SINGLE_CIRCUIT_DEFAULT,PUBLIC_TWO_CIRCUIT_INVENTORY,CHANGED
lines,LINE:001714,rating_override_status,NO_CORRIDOR_OVERRIDE,EXPLICIT_PUBLIC_INVENTORY_CORRECTION,CHANGED
lines,LINE:001714,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001716,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001716,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001716,max_i_ka,0.6969,0.686,CHANGED
lines,LINE:001716,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001724,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001724,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001724,max_i_ka,0.88435,1.089,CHANGED
lines,LINE:001724,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001725,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001725,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001725,max_i_ka,0.6014499999999999,0.723,CHANGED
lines,LINE:001725,seasonal_rating_status,WINTER_DYNAMIC_AMBIENT_TEMPERATURE_RATING_APPLIED,DIRECT_PDIRD_WINTER_NOMINAL_CURRENT_APPLIED,CHANGED
lines,LINE:001726,parameter_source,"E-REDES PDIRD-E 2020 Annex B, 31-12-2025 planning table",https://www.e-redes.pt/sites/eredes/files/2022-07/PDIRD-E%202020%20proposta%20final.pdf,CHANGED
lines,LINE:001726,max_i_status,DIRECT_PDIRD_MINIMUM_SUMMER_NOMINAL_CURRENT,DIRECT_PDIRD_MINIMUM_WINTER_NOMINAL_CURRENT,CHANGED
lines,LINE:001726,max_i_ka,0.46115,0.451,CHANGED
