role,base_screen_overloaded_circuits,primary_converged,legacy_incremental_passes,worsening_gt_0_1pp,worsening_gt_1pp,worsening_gt_5pp,max_worsening_pp,p95_worsening_pp,legacy_pass_but_worsening_gt1pp,incremental_and_no1pp_worsening,base_vm_min,base_vm_max,base_trafo_max,max_low_envelope_worsening_pu,max_high_envelope_worsening_pu,max_trafo_envelope_worsening_pp
MAX_NET_EXPORT,0,1649,1527,0,0,0,0.0,0.0,0,1527,0.969177436897198,1.013938040005165,57.070806022812604,0.0,0.0,0.0
MAX_NET_IMPORT,0,1648,1455,0,0,0,0.0,0.0,0,1455,0.978362222068862,1.023486210706977,68.02623274910428,0.0,0.0,0.0
MAX_SOLAR,0,1649,1526,0,0,0,0.0,0.0,0,1526,0.968546537915586,1.026025110991589,57.41786384400174,0.0,0.0,0.0
MAX_WIND,3,1647,1502,133,23,8,114.92421977192157,0.21701149740810416,17,1485,0.943450602696758,1.020243181606962,74.4381455784777,0.0,0.0,0.0
MINIMUM_LOAD,0,1649,1538,0,0,0,0.0,0.0,0,1538,0.981553835300071,1.026170287273097,20.76445473489103,0.0,0.0,0.0
PEAK_LOAD,1,1646,1516,80,20,4,15.022837624478242,0.0934683203790172,15,1501,0.948709588480173,1.023244103553547,69.49944570088743,0.0,0.0,0.0
