method,stations,pairs,mae_mw,rmse_mw,bias_mw,wape,mae_station_bootstrap_ci_low,mae_station_bootstrap_ci_high,pearson
CAPACITY_GLOBAL,394,8541,4.728537248146211,6.356832907406866,0.007217270122238955,0.3842607600021109,4.412351732997247,5.0628067638110155,0.7525848130852795
GEOGRAPHIC_KNN5,394,8541,4.249151258554377,5.675076285117919,0.14637342450048746,0.3453038447812061,3.971912098440417,4.544074272407134,0.8124799500491348
NETWORK_ROUTE_KNN5,394,8541,4.261687838700832,5.702403257097038,0.23771193177235858,0.34632261984040497,3.9710090457742777,4.544748713373961,0.8110642484130275
