line_id,total_selections,total_solved_experiments,overall_frequency,states_selected,persistent_states,max_within_state_frequency
LINE:000218,0,264,0.0,0,0,0.0
LINE:000219,0,264,0.0,0,0,0.0
LINE:000220,0,264,0.0,0,0,0.0
LINE:000221,0,264,0.0,0,0,0.0
LINE:000222,0,264,0.0,0,0,0.0
LINE:000223,0,264,0.0,0,0,0.0
LINE:000224,0,264,0.0,0,0,0.0
LINE:000225,0,264,0.0,0,0,0.0
LINE:000226,0,264,0.0,0,0,0.0
LINE:000227,0,264,0.0,0,0,0.0
LINE:000229,0,264,0.0,0,0,0.0
LINE:000231,0,264,0.0,0,0,0.0
LINE:000232,0,264,0.0,0,0,0.0
LINE:000233,0,264,0.0,0,0,0.0
LINE:000235,0,264,0.0,0,0,0.0
LINE:000236,0,264,0.0,0,0,0.0
LINE:000238,0,264,0.0,0,0,0.0
LINE:000239,0,264,0.0,0,0,0.0
LINE:000240,0,264,0.0,0,0,0.0
LINE:000241,0,264,0.0,0,0,0.0
LINE:000244,0,264,0.0,0,0,0.0
LINE:000245,0,264,0.0,0,0,0.0
LINE:000246,0,264,0.0,0,0,0.0
LINE:000249,0,264,0.0,0,0,0.0
LINE:000250,0,264,0.0,0,0,0.0
LINE:000251,0,264,0.0,0,0,0.0
LINE:000254,0,264,0.0,0,0,0.0
LINE:000255,0,264,0.0,0,0,0.0
LINE:000256,0,264,0.0,0,0,0.0
LINE:000257,0,264,0.0,0,0,0.0
LINE:000260,0,264,0.0,0,0,0.0
LINE:000262,0,264,0.0,0,0,0.0
LINE:000263,0,264,0.0,0,0,0.0
LINE:000265,0,264,0.0,0,0,0.0
LINE:000266,0,264,0.0,0,0,0.0
LINE:000267,0,264,0.0,0,0,0.0
LINE:000270,0,264,0.0,0,0,0.0
LINE:000271,0,264,0.0,0,0,0.0
LINE:000272,0,264,0.0,0,0,0.0
LINE:000274,0,264,0.0,0,0,0.0
LINE:000275,0,264,0.0,0,0,0.0
LINE:000278,0,264,0.0,0,0,0.0
LINE:000280,0,264,0.0,0,0,0.0
LINE:000281,0,264,0.0,0,0,0.0
LINE:000284,0,264,0.0,0,0,0.0
LINE:000286,0,264,0.0,0,0,0.0
LINE:000288,0,264,0.0,0,0,0.0
LINE:000293,0,264,0.0,0,0,0.0
LINE:000294,0,264,0.0,0,0,0.0
LINE:000299,0,264,0.0,0,0,0.0
LINE:000300,0,264,0.0,0,0,0.0
LINE:000302,0,264,0.0,0,0,0.0
LINE:000303,0,264,0.0,0,0,0.0
LINE:000304,0,264,0.0,0,0,0.0
LINE:000307,0,264,0.0,0,0,0.0
LINE:000308,0,264,0.0,0,0,0.0
LINE:000310,0,264,0.0,0,0,0.0
LINE:000312,0,264,0.0,0,0,0.0
LINE:000313,0,264,0.0,0,0,0.0
LINE:000314,37,264,0.14015151515151514,8,2,0.9166666666666666
LINE:000315,0,264,0.0,0,0,0.0
LINE:000316,0,264,0.0,0,0,0.0
LINE:000317,0,264,0.0,0,0,0.0
LINE:000318,0,264,0.0,0,0,0.0
LINE:000320,0,264,0.0,0,0,0.0
LINE:000321,0,264,0.0,0,0,0.0
LINE:000323,0,264,0.0,0,0,0.0
LINE:000324,0,264,0.0,0,0,0.0
LINE:000325,0,264,0.0,0,0,0.0
LINE:000326,0,264,0.0,0,0,0.0
LINE:000327,0,264,0.0,0,0,0.0
LINE:000329,0,264,0.0,0,0,0.0
LINE:000330,0,264,0.0,0,0,0.0
LINE:000331,0,264,0.0,0,0,0.0
LINE:000332,0,264,0.0,0,0,0.0
LINE:000333,0,264,0.0,0,0,0.0
LINE:000339,0,264,0.0,0,0,0.0
LINE:000340,0,264,0.0,0,0,0.0
LINE:000341,0,264,0.0,0,0,0.0
LINE:000344,0,264,0.0,0,0,0.0
LINE:000345,0,264,0.0,0,0,0.0
LINE:000347,0,264,0.0,0,0,0.0
LINE:000348,0,264,0.0,0,0,0.0
LINE:000349,0,264,0.0,0,0,0.0
LINE:000350,0,264,0.0,0,0,0.0
LINE:000351,0,264,0.0,0,0,0.0
LINE:000353,0,264,0.0,0,0,0.0
LINE:000354,0,264,0.0,0,0,0.0
LINE:000355,0,264,0.0,0,0,0.0
LINE:000356,0,264,0.0,0,0,0.0
LINE:000357,0,264,0.0,0,0,0.0
LINE:000359,0,264,0.0,0,0,0.0
LINE:000360,0,264,0.0,0,0,0.0
LINE:000361,0,264,0.0,0,0,0.0
LINE:000362,0,264,0.0,0,0,0.0
LINE:000364,0,264,0.0,0,0,0.0
LINE:000365,0,264,0.0,0,0,0.0
LINE:000366,0,264,0.0,0,0,0.0
LINE:000367,0,264,0.0,0,0,0.0
LINE:000368,0,264,0.0,0,0,0.0
LINE:000369,0,264,0.0,0,0,0.0
LINE:000370,0,264,0.0,0,0,0.0
LINE:000371,0,264,0.0,0,0,0.0
LINE:000373,0,264,0.0,0,0,0.0
LINE:000374,0,264,0.0,0,0,0.0
LINE:000375,0,264,0.0,0,0,0.0
LINE:000376,0,264,0.0,0,0,0.0
LINE:000377,0,264,0.0,0,0,0.0
LINE:000378,0,264,0.0,0,0,0.0
LINE:000379,0,264,0.0,0,0,0.0
LINE:000380,0,264,0.0,0,0,0.0
LINE:000381,0,264,0.0,0,0,0.0
LINE:000382,0,264,0.0,0,0,0.0
LINE:000383,0,264,0.0,0,0,0.0
LINE:000386,0,264,0.0,0,0,0.0
LINE:000388,0,264,0.0,0,0,0.0
LINE:000389,0,264,0.0,0,0,0.0
LINE:000390,0,264,0.0,0,0,0.0
LINE:000393,2,264,0.007575757575757576,2,0,0.08333333333333333
LINE:000394,0,264,0.0,0,0,0.0
LINE:000395,0,264,0.0,0,0,0.0
LINE:000396,0,264,0.0,0,0,0.0
LINE:000397,0,264,0.0,0,0,0.0
LINE:000398,0,264,0.0,0,0,0.0
LINE:000399,0,264,0.0,0,0,0.0
LINE:000400,0,264,0.0,0,0,0.0
LINE:000401,0,264,0.0,0,0,0.0
LINE:000402,0,264,0.0,0,0,0.0
LINE:000403,0,264,0.0,0,0,0.0
LINE:000404,0,264,0.0,0,0,0.0
LINE:000405,0,264,0.0,0,0,0.0
LINE:000406,0,264,0.0,0,0,0.0
LINE:000411,0,264,0.0,0,0,0.0
LINE:000413,0,264,0.0,0,0,0.0
LINE:000414,0,264,0.0,0,0,0.0
LINE:000415,0,264,0.0,0,0,0.0
LINE:000416,0,264,0.0,0,0,0.0
LINE:000417,0,264,0.0,0,0,0.0
LINE:000418,0,264,0.0,0,0,0.0
LINE:000423,0,264,0.0,0,0,0.0
LINE:000424,0,264,0.0,0,0,0.0
LINE:000425,0,264,0.0,0,0,0.0
LINE:000426,0,264,0.0,0,0,0.0
LINE:000427,0,264,0.0,0,0,0.0
LINE:000428,0,264,0.0,0,0,0.0
LINE:000429,0,264,0.0,0,0,0.0
LINE:000430,0,264,0.0,0,0,0.0
LINE:000431,0,264,0.0,0,0,0.0
LINE:000432,0,264,0.0,0,0,0.0
LINE:000434,0,264,0.0,0,0,0.0
LINE:000435,0,264,0.0,0,0,0.0
LINE:000438,0,264,0.0,0,0,0.0
LINE:000440,0,264,0.0,0,0,0.0
LINE:000441,0,264,0.0,0,0,0.0
LINE:000442,0,264,0.0,0,0,0.0
LINE:000445,0,264,0.0,0,0,0.0
LINE:000446,0,264,0.0,0,0,0.0
LINE:000447,0,264,0.0,0,0,0.0
LINE:000448,0,264,0.0,0,0,0.0
LINE:000449,0,264,0.0,0,0,0.0
LINE:000450,0,264,0.0,0,0,0.0
LINE:000452,0,264,0.0,0,0,0.0
LINE:000453,0,264,0.0,0,0,0.0
LINE:000454,0,264,0.0,0,0,0.0
LINE:000455,9,264,0.03409090909090909,1,0,0.75
LINE:000456,0,264,0.0,0,0,0.0
LINE:000457,0,264,0.0,0,0,0.0
LINE:000459,0,264,0.0,0,0,0.0
LINE:000462,0,264,0.0,0,0,0.0
LINE:000463,0,264,0.0,0,0,0.0
LINE:000464,0,264,0.0,0,0,0.0
LINE:000465,0,264,0.0,0,0,0.0
LINE:000466,0,264,0.0,0,0,0.0
LINE:000467,0,264,0.0,0,0,0.0
LINE:000469,0,264,0.0,0,0,0.0
LINE:000470,0,264,0.0,0,0,0.0
LINE:000471,0,264,0.0,0,0,0.0
LINE:000472,0,264,0.0,0,0,0.0
LINE:000473,0,264,0.0,0,0,0.0
LINE:000475,0,264,0.0,0,0,0.0
LINE:000476,0,264,0.0,0,0,0.0
LINE:000478,0,264,0.0,0,0,0.0
LINE:000479,0,264,0.0,0,0,0.0
LINE:000480,0,264,0.0,0,0,0.0
LINE:000481,0,264,0.0,0,0,0.0
LINE:000482,0,264,0.0,0,0,0.0
LINE:000483,0,264,0.0,0,0,0.0
LINE:000484,0,264,0.0,0,0,0.0
LINE:000485,0,264,0.0,0,0,0.0
LINE:000486,0,264,0.0,0,0,0.0
LINE:000487,0,264,0.0,0,0,0.0
LINE:000488,0,264,0.0,0,0,0.0
LINE:000489,0,264,0.0,0,0,0.0
LINE:000490,0,264,0.0,0,0,0.0
LINE:000491,0,264,0.0,0,0,0.0
LINE:000492,0,264,0.0,0,0,0.0
LINE:000493,0,264,0.0,0,0,0.0
LINE:000494,0,264,0.0,0,0,0.0
LINE:000495,0,264,0.0,0,0,0.0
LINE:000496,0,264,0.0,0,0,0.0
LINE:000497,0,264,0.0,0,0,0.0
LINE:000498,0,264,0.0,0,0,0.0
LINE:000500,0,264,0.0,0,0,0.0
LINE:000501,0,264,0.0,0,0,0.0
LINE:000502,0,264,0.0,0,0,0.0
LINE:000503,0,264,0.0,0,0,0.0
LINE:000504,0,264,0.0,0,0,0.0
LINE:000505,0,264,0.0,0,0,0.0
LINE:000506,0,264,0.0,0,0,0.0
LINE:000507,0,264,0.0,0,0,0.0
LINE:000508,0,264,0.0,0,0,0.0
LINE:000509,0,264,0.0,0,0,0.0
LINE:000510,0,264,0.0,0,0,0.0
LINE:000511,0,264,0.0,0,0,0.0
LINE:000512,0,264,0.0,0,0,0.0
LINE:000513,0,264,0.0,0,0,0.0
LINE:000515,0,264,0.0,0,0,0.0
LINE:000516,0,264,0.0,0,0,0.0
LINE:000517,0,264,0.0,0,0,0.0
LINE:000518,0,264,0.0,0,0,0.0
LINE:000519,0,264,0.0,0,0,0.0
LINE:000520,0,264,0.0,0,0,0.0
LINE:000521,0,264,0.0,0,0,0.0
LINE:000522,0,264,0.0,0,0,0.0
LINE:000523,0,264,0.0,0,0,0.0
LINE:000524,0,264,0.0,0,0,0.0
LINE:000525,0,264,0.0,0,0,0.0
LINE:000526,0,264,0.0,0,0,0.0
LINE:000527,0,264,0.0,0,0,0.0
LINE:000528,0,264,0.0,0,0,0.0
LINE:000529,0,264,0.0,0,0,0.0
LINE:000530,0,264,0.0,0,0,0.0
LINE:000531,0,264,0.0,0,0,0.0
LINE:000532,0,264,0.0,0,0,0.0
LINE:000533,0,264,0.0,0,0,0.0
LINE:000534,0,264,0.0,0,0,0.0
LINE:000535,0,264,0.0,0,0,0.0
LINE:000536,0,264,0.0,0,0,0.0
LINE:000537,0,264,0.0,0,0,0.0
LINE:000538,0,264,0.0,0,0,0.0
LINE:000539,0,264,0.0,0,0,0.0
LINE:000540,0,264,0.0,0,0,0.0
LINE:000541,0,264,0.0,0,0,0.0
LINE:000542,0,264,0.0,0,0,0.0
LINE:000543,0,264,0.0,0,0,0.0
LINE:000544,0,264,0.0,0,0,0.0
LINE:000547,0,264,0.0,0,0,0.0
LINE:000549,0,264,0.0,0,0,0.0
LINE:000551,0,264,0.0,0,0,0.0
LINE:000552,0,264,0.0,0,0,0.0
LINE:000553,0,264,0.0,0,0,0.0
LINE:000554,0,264,0.0,0,0,0.0
LINE:000555,0,264,0.0,0,0,0.0
LINE:000558,0,264,0.0,0,0,0.0
LINE:000559,0,264,0.0,0,0,0.0
LINE:000560,0,264,0.0,0,0,0.0
LINE:000561,31,264,0.11742424242424243,6,2,1.0
LINE:000562,0,264,0.0,0,0,0.0
LINE:000563,0,264,0.0,0,0,0.0
LINE:000564,0,264,0.0,0,0,0.0
LINE:000566,0,264,0.0,0,0,0.0
LINE:000567,0,264,0.0,0,0,0.0
LINE:000568,0,264,0.0,0,0,0.0
LINE:000570,0,264,0.0,0,0,0.0
LINE:000572,0,264,0.0,0,0,0.0
LINE:000573,0,264,0.0,0,0,0.0
LINE:000574,0,264,0.0,0,0,0.0
LINE:000575,0,264,0.0,0,0,0.0
LINE:000577,0,264,0.0,0,0,0.0
LINE:000578,0,264,0.0,0,0,0.0
LINE:000579,0,264,0.0,0,0,0.0
LINE:000581,0,264,0.0,0,0,0.0
LINE:000582,0,264,0.0,0,0,0.0
LINE:000583,0,264,0.0,0,0,0.0
LINE:000584,0,264,0.0,0,0,0.0
LINE:000585,0,264,0.0,0,0,0.0
LINE:000586,0,264,0.0,0,0,0.0
LINE:000587,0,264,0.0,0,0,0.0
LINE:000590,0,264,0.0,0,0,0.0
LINE:000591,0,264,0.0,0,0,0.0
LINE:000593,0,264,0.0,0,0,0.0
LINE:000594,0,264,0.0,0,0,0.0
LINE:000595,0,264,0.0,0,0,0.0
LINE:000596,0,264,0.0,0,0,0.0
LINE:000597,0,264,0.0,0,0,0.0
LINE:000598,0,264,0.0,0,0,0.0
LINE:000599,0,264,0.0,0,0,0.0
LINE:000600,0,264,0.0,0,0,0.0
LINE:000601,0,264,0.0,0,0,0.0
LINE:000602,0,264,0.0,0,0,0.0
LINE:000604,0,264,0.0,0,0,0.0
LINE:000606,0,264,0.0,0,0,0.0
LINE:000607,0,264,0.0,0,0,0.0
LINE:000610,0,264,0.0,0,0,0.0
LINE:000611,0,264,0.0,0,0,0.0
LINE:000612,0,264,0.0,0,0,0.0
LINE:000613,0,264,0.0,0,0,0.0
LINE:000614,0,264,0.0,0,0,0.0
LINE:000616,0,264,0.0,0,0,0.0
LINE:000618,0,264,0.0,0,0,0.0
LINE:000619,0,264,0.0,0,0,0.0
LINE:000620,0,264,0.0,0,0,0.0
LINE:000621,0,264,0.0,0,0,0.0
LINE:000622,0,264,0.0,0,0,0.0
LINE:000623,0,264,0.0,0,0,0.0
LINE:000624,0,264,0.0,0,0,0.0
LINE:000625,0,264,0.0,0,0,0.0
LINE:000626,0,264,0.0,0,0,0.0
LINE:000627,0,264,0.0,0,0,0.0
LINE:000629,0,264,0.0,0,0,0.0
LINE:000630,0,264,0.0,0,0,0.0
LINE:000631,0,264,0.0,0,0,0.0
LINE:000632,0,264,0.0,0,0,0.0
LINE:000633,0,264,0.0,0,0,0.0
LINE:000634,0,264,0.0,0,0,0.0
LINE:000635,0,264,0.0,0,0,0.0
LINE:000636,0,264,0.0,0,0,0.0
LINE:000637,0,264,0.0,0,0,0.0
LINE:000638,0,264,0.0,0,0,0.0
LINE:000641,0,264,0.0,0,0,0.0
LINE:000642,0,264,0.0,0,0,0.0
LINE:000643,0,264,0.0,0,0,0.0
LINE:000644,0,264,0.0,0,0,0.0
LINE:000645,0,264,0.0,0,0,0.0
LINE:000647,0,264,0.0,0,0,0.0
LINE:000648,0,264,0.0,0,0,0.0
LINE:000649,0,264,0.0,0,0,0.0
LINE:000650,0,264,0.0,0,0,0.0
LINE:000651,0,264,0.0,0,0,0.0
LINE:000652,0,264,0.0,0,0,0.0
LINE:000653,0,264,0.0,0,0,0.0
LINE:000654,0,264,0.0,0,0,0.0
LINE:000655,0,264,0.0,0,0,0.0
LINE:000656,0,264,0.0,0,0,0.0
LINE:000657,0,264,0.0,0,0,0.0
LINE:000658,0,264,0.0,0,0,0.0
LINE:000659,0,264,0.0,0,0,0.0
LINE:000660,0,264,0.0,0,0,0.0
LINE:000662,0,264,0.0,0,0,0.0
LINE:000664,0,264,0.0,0,0,0.0
LINE:000665,0,264,0.0,0,0,0.0
LINE:000666,0,264,0.0,0,0,0.0
LINE:000667,0,264,0.0,0,0,0.0
LINE:000668,0,264,0.0,0,0,0.0
LINE:000669,0,264,0.0,0,0,0.0
LINE:000670,0,264,0.0,0,0,0.0
LINE:000671,0,264,0.0,0,0,0.0
LINE:000672,0,264,0.0,0,0,0.0
LINE:000673,0,264,0.0,0,0,0.0
LINE:000674,0,264,0.0,0,0,0.0
LINE:000675,0,264,0.0,0,0,0.0
LINE:000678,0,264,0.0,0,0,0.0
LINE:000679,0,264,0.0,0,0,0.0
LINE:000682,0,264,0.0,0,0,0.0
LINE:000683,0,264,0.0,0,0,0.0
LINE:000684,0,264,0.0,0,0,0.0
LINE:000685,0,264,0.0,0,0,0.0
LINE:000686,0,264,0.0,0,0,0.0
LINE:000688,0,264,0.0,0,0,0.0
LINE:000689,0,264,0.0,0,0,0.0
LINE:000690,0,264,0.0,0,0,0.0
LINE:000691,0,264,0.0,0,0,0.0
LINE:000693,0,264,0.0,0,0,0.0
LINE:000695,0,264,0.0,0,0,0.0
LINE:000696,0,264,0.0,0,0,0.0
LINE:000699,0,264,0.0,0,0,0.0
LINE:000700,0,264,0.0,0,0,0.0
LINE:000702,0,264,0.0,0,0,0.0
LINE:000703,0,264,0.0,0,0,0.0
LINE:000704,0,264,0.0,0,0,0.0
LINE:000705,0,264,0.0,0,0,0.0
LINE:000706,0,264,0.0,0,0,0.0
LINE:000707,0,264,0.0,0,0,0.0
LINE:000708,0,264,0.0,0,0,0.0
LINE:000711,0,264,0.0,0,0,0.0
LINE:000712,0,264,0.0,0,0,0.0
LINE:000713,0,264,0.0,0,0,0.0
LINE:000714,0,264,0.0,0,0,0.0
LINE:000716,0,264,0.0,0,0,0.0
